Phone,Account.Length,Day.Mins,Day.Calls,Day.Charge,Eve.Mins,Eve.Calls,Eve.Charge,Night.Mins,Night.Calls,Night.Charge,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn.
362-9983,82,163.8,77,27.85,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38,2,False.
414-2606,87,189.5,113,32.22,204.9,100,17.42,221.7,93,9.98,13.4,3,3.62,1,False.
402-4501,115,155.2,110,26.38,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22,0,False.
387-2604,99,242.3,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0,True.
400-3343,121,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,False.
353-2450,54,112,90,19.04,208,112,17.68,150.3,83,6.76,11.3,4,3.05,2,False.
406-2032,105,115.5,73,19.64,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59,3,False.
409-4462,73,137.1,102,23.31,210.8,114,17.92,191.4,120,8.61,11.1,4,3,1,False.
392-5941,95,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,False.
334-9182,21,132.7,94,22.56,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3,False.
368-9507,57,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,False.
382-3966,104,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,False.
334-5844,83,95,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,False.
362-9411,141,160.1,87,27.22,256.7,120,21.82,270,107,12.15,7,1,1.89,2,False.
390-3565,95,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3,False.
414-9717,67,179.8,125,30.57,173.2,86,14.72,272.8,97,12.28,10.9,4,2.94,0,False.
376-7207,71,183.2,103,31.14,209.4,111,17.8,172.4,109,7.76,11.9,6,3.21,1,False.
370-9533,138,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13,0,False.
372-1493,117,184.8,83,31.42,248.6,101,21.13,133.1,113,5.99,9.6,8,2.59,1,False.
366-6248,73,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3,2,False.
369-3756,100,224.7,121,38.2,294,131,24.99,290,61,13.05,9.8,6,2.65,0,False.
363-1719,149,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,False.
402-6666,29,196.8,81,33.46,168,110,14.28,132.6,98,5.97,12.7,7,3.43,2,False.
408-9779,131,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,1,False.
407-2441,153,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8,3,2.16,2,False.
384-5027,84,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,2,False.
380-3161,133,187,65,31.79,141.4,128,12.02,238.2,108,10.72,10,8,2.7,2,False.
360-8135,112,170.5,113,28.99,193.2,129,16.42,188,91,8.46,11.2,6,3.02,0,False.
399-5426,87,204.8,101,34.82,161,80,13.69,285.7,89,12.86,9.5,3,2.57,0,False.
385-2564,72,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12,5,3.24,2,False.
337-8618,66,154,133,26.18,198.9,121,16.91,151.9,100,6.84,9.5,3,2.57,4,True.
394-6278,74,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,False.
405-2276,116,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,True.
379-3953,54,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,False.
418-6512,99,54.8,92,9.32,173,103,14.71,195.1,125,8.78,7.5,3,2.03,1,False.
392-5296,107,134,104,22.78,174.5,94,14.83,311.1,79,14,7.3,3,1.97,3,False.
355-3814,124,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84,1,False.
375-2098,95,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,False.
372-7990,173,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,0,True.
398-5788,102,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0,False.
390-4003,130,68.4,86,11.63,193.3,110,16.43,171.5,139,7.72,10.4,4,2.81,0,False.
418-2402,176,283.2,130,48.14,162.6,74,13.82,177.7,104,8,7.2,6,1.94,1,False.
384-3299,93,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3,1,True.
378-9090,84,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,False.
379-4583,101,105.9,132,18,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,False.
411-5078,136,142.3,79,24.19,158,113,13.43,177.5,75,7.99,6,11,1.62,2,False.
341-9274,132,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,False.
371-7366,92,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,1,False.
351-8398,191,162,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,False.
329-2204,99,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,False.
407-7507,106,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,False.
405-8075,88,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2,False.
390-9698,78,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0,False.
403-4917,98,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1,False.
391-6709,17,198.5,123,33.75,270.6,74,23,209.9,130,9.45,8.1,10,2.19,1,False.
389-5988,56,121.7,87,20.69,184,76,15.64,266.6,98,12,12.7,3,3.43,1,False.
372-1534,84,130.2,105,22.13,278,60,23.63,305.4,74,13.74,14,6,3.78,2,False.
395-6369,95,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7,2,False.
400-3197,16,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,False.
377-4169,76,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,True.
384-5343,93,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75,0,False.
332-2126,123,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9,10,2.43,1,False.
349-2157,64,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,False.
393-4823,82,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,True.
345-8350,110,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,False.
334-4506,96,150,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,False.
332-3544,47,196.6,93,33.42,241.4,140,20.52,226,118,10.17,12.9,4,3.48,2,False.
380-5102,115,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,False.
395-6149,69,143.6,88,24.41,141.8,86,12.05,194,83,8.73,10.8,5,2.92,3,False.
334-4438,90,37.8,80,6.43,155.3,105,13.2,175,111,7.88,14.2,5,3.83,3,False.
384-7459,98,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,False.
348-5725,95,269,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,True.
365-2008,79,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,True.
393-3635,123,198.7,127,33.78,249,105,21.17,173.2,124,7.79,12.5,5,3.38,1,False.
380-8727,99,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,True.
381-2376,114,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,False.
365-8114,141,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,False.
415-5008,132,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,False.
392-8318,133,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6,4,1.62,0,False.
401-4007,133,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,False.
338-7709,93,218.7,117,37.18,115,61,9.78,192.7,85,8.67,9.4,5,2.54,2,False.
374-1981,34,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11,10,2.97,2,True.
333-5101,140,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,True.
384-5004,144,278.5,95,47.35,240.7,90,20.46,120,90,5.4,11.6,5,3.13,1,True.
341-9396,24,236.3,105,40.17,190.8,114,16.22,129,105,5.81,7.2,2,1.94,3,False.
408-6302,54,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,False.
348-7193,50,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,True.
417-4063,92,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,False.
375-6911,96,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,False.
358-3604,146,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9,7,2.43,2,False.
339-7485,138,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16,0,False.
368-3078,102,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,False.
418-7055,76,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,True.
366-2541,83,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,False.
335-3110,36,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1,False.
400-7809,70,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1,False.
404-3106,109,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,True.
333-2337,100,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,False.
353-6482,104,170.6,97,29,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,False.
380-6722,84,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1,False.
348-8022,100,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,False.
388-4459,99,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,False.
358-3114,50,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97,1,False.
343-9654,105,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,False.
401-9909,113,149,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,False.
404-9978,111,96.8,123,16.46,170.6,105,14.5,166,85,7.47,13.4,4,3.62,2,False.
397-8011,161,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,False.
341-8719,70,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0,True.
408-1242,97,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,False.
406-7726,130,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,False.
351-2773,92,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,1,False.
368-6174,119,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4,0,False.
334-5029,115,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,True.
330-4978,80,268.7,120,45.68,301,147,25.59,167,140,7.52,5.8,1,1.57,2,True.
386-1631,153,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,False.
363-1208,85,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3.7,5,1,3,False.
334-5263,79,41.9,124,7.12,211,95,17.94,237.9,55,10.71,11.4,5,3.08,1,False.
374-8187,120,239.4,94,40.7,259.4,88,22.05,238,132,10.71,7.7,3,2.08,0,False.
370-1525,68,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,False.
355-3801,60,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1,True.
392-5605,120,158,110,26.86,197,103,16.75,154.9,132,6.97,10,5,2.7,1,False.
363-1366,71,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1,False.
358-5274,124,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,3,False.
421-8537,181,161.3,83,27.42,124.4,83,10.57,262,98,11.79,14.1,3,3.81,0,True.
351-5576,63,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,False.
405-4420,80,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,False.
340-2855,118,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,False.
342-8002,42,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12,6,3.24,2,False.
355-6826,134,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,False.
402-3886,66,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,0,False.
336-5900,66,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,False.
339-7684,127,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,False.
390-2433,146,189.3,77,32.18,155.9,128,13.25,186,83,8.37,7.4,3,2,0,False.
360-7246,93,166.9,101,28.37,273.2,84,23.22,171,106,7.69,11.5,1,3.11,1,False.
348-6720,111,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,True.
406-6400,125,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,False.
390-7370,115,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,False.
390-5055,115,122,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,2,True.
405-7542,114,193,101,32.81,250,81,21.25,133.3,79,6,9.6,2,2.59,2,False.
364-4927,106,158.6,112,26.96,220,114,18.7,252.9,106,11.38,9.1,3,2.46,0,False.
329-3458,118,91.5,125,15.56,219.9,113,18.69,229,99,10.31,12.7,8,3.43,2,False.
331-3842,59,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,False.
343-4147,87,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1,False.
335-2274,21,244.7,81,41.6,168,117,14.28,281.5,87,12.67,6.6,1,1.78,1,False.
343-3227,142,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,False.
331-1391,149,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10,3,2.7,3,True.
360-1643,54,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,False.
410-2518,112,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,False.
344-4970,68,157.3,83,26.74,220.9,85,18.78,218.9,129,9.85,12,7,3.24,1,False.
408-1486,201,192,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,False.
396-1648,88,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8,1,2.16,1,False.
391-2022,85,144.6,97,24.58,140,102,11.9,165.4,148,7.44,10.9,3,2.94,1,False.
420-6465,51,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0,True.
398-2628,45,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,False.
409-5519,116,160.7,69,27.32,146.8,106,12.48,287.8,144,12.95,8.2,5,2.21,0,False.
391-8554,146,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,False.
395-1693,63,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1,False.
393-3194,133,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,False.
328-3402,125,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,False.
411-4781,72,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,False.
401-2581,130,127,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,False.
348-6853,54,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,11.5,5,3.11,1,True.
341-8412,160,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,False.
330-8142,79,144,90,24.48,135.8,91,11.54,212.4,129,9.56,13,4,3.51,1,False.
361-1404,92,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,False.
375-9671,59,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12,4,3.24,1,False.
372-1824,132,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,False.
379-7009,147,254.2,78,43.21,228.1,105,19.39,98,125,4.41,13.8,7,3.73,5,False.
411-4940,101,174.9,105,29.73,262,75,22.27,210,93,9.45,8.5,5,2.3,1,False.
350-2384,107,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,False.
348-1706,110,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,False.
415-6145,83,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,12.4,2,3.35,3,False.
373-3731,117,161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,1,False.
341-3349,124,194,103,32.98,241,116,20.49,227.5,153,10.24,11.9,5,3.21,0,False.
399-8859,115,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,False.
377-4518,156,277,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,False.
418-8770,72,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,False.
332-9118,101,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,2.57,0,False.
386-1418,53,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,False.
408-4865,56,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,False.
396-6247,123,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,False.
396-9462,127,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,False.
396-9279,116,253,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,False.
356-1358,120,203.3,108,34.56,259.9,66,22.09,115.9,103,5.22,7.8,2,2.11,3,False.
360-7839,102,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,False.
364-8774,95,167.6,96,28.49,176,89,14.96,250.9,113,11.29,13.4,6,3.62,2,False.
348-5038,102,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,False.
365-4728,89,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1,False.
351-9037,50,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,False.
397-9184,93,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,False.
398-4538,68,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,False.
382-6827,70,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8,3,2.16,2,False.
408-1340,138,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0,False.
333-9511,141,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8,3,2.16,4,False.
358-7379,112,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,0,False.
397-1766,117,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,1,True.
331-2144,1,208,115,35.36,185,113,15.73,177.7,144,8,8.1,9,2.19,1,False.
373-8920,52,195.7,119,33.27,106.2,95,9.03,157.4,94,7.08,5.3,3,1.43,2,False.
373-8908,97,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,True.
405-7850,54,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,False.
394-7710,148,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,False.
340-1876,162,179.7,144,30.55,218.1,129,18.54,212.3,105,9.55,9.3,8,2.51,1,True.
383-6095,85,165.8,96,28.19,190,141,16.15,144,116,6.48,10.9,3,2.94,5,True.
413-1061,101,144.1,144,24.5,167.6,105,14.25,240,107,10.8,14.5,3,3.92,1,False.
343-5347,172,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0,False.
376-4861,80,199.8,138,33.97,167.1,91,14.2,271.8,94,12.23,5.5,4,1.49,1,False.
417-2265,67,109.1,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2,False.
407-2259,107,222.3,101,37.79,286,111,24.31,249.4,117,11.22,12.1,4,3.27,1,True.
360-7477,116,164.6,110,27.98,270.6,103,23,230.4,109,10.37,8,3,2.16,0,False.
342-5243,63,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2,0,False.
417-3999,119,147.2,103,25.02,160.1,96,13.61,184,120,8.28,7.7,2,2.08,0,True.
379-1720,133,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8,3,2.16,0,True.
368-3117,94,170.1,113,28.92,271.8,94,23.1,110.7,78,4.98,8.7,4,2.35,1,False.
352-5000,69,195.1,91,33.17,261.5,57,22.23,203.8,90,9.17,11.4,5,3.08,0,False.
361-2349,119,81.9,75,13.92,253.8,114,21.57,213.1,125,9.59,8.9,1,2.4,2,True.
383-2901,142,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,False.
369-7049,123,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3,False.
387-5533,101,239,156,40.63,273,106,23.21,278.2,93,12.52,13.5,8,3.65,1,True.
357-3577,69,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,False.
395-8330,107,248.6,91,42.26,119.3,115,10.14,194.3,83,8.74,12,1,3.24,1,False.
354-8191,46,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,False.
359-7562,55,221,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,False.
359-4336,39,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,True.
336-9901,92,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,False.
406-3069,56,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4,4,True.
334-6519,76,272.7,97,46.36,236.4,95,20.09,235.5,105,10.6,7.7,2,2.08,0,True.
361-8113,132,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,False.
347-9769,140,157.1,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3,1,False.
352-9130,51,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2,False.
378-4557,27,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,False.
360-8919,224,111.4,133,18.94,175,66,14.88,217.2,106,9.77,5.5,6,1.49,3,False.
381-2498,117,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12,4,3.24,2,False.
357-5696,91,153,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,True.
363-3571,146,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,False.
405-5403,147,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,True.
330-9354,68,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,True.
396-7091,68,131.6,89,22.37,137,109,11.65,256.3,107,11.53,10.2,5,2.75,3,False.
398-3004,86,197.9,99,33.64,165.6,100,14.08,208,120,9.36,10.1,9,2.73,0,False.
400-4020,131,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1,False.
335-2019,159,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2,2,True.
332-6633,134,142.9,105,24.29,88.6,61,7.53,290,96,13.05,10.8,6,2.92,1,False.
359-7648,113,207.2,113,35.22,256,80,21.76,211,87,9.49,9.9,1,2.67,1,False.
412-9190,132,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,False.
368-9007,85,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,False.
384-5632,93,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14,7,3.78,1,True.
352-6068,174,167.8,91,28.53,205.3,91,17.45,130,132,5.85,14.5,4,3.92,4,True.
343-9645,61,197.7,118,33.61,152.2,96,12.94,221,93,9.95,7,3,1.89,2,False.
384-7873,91,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,False.
396-2187,88,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,False.
383-5109,88,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,False.
377-7843,195,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,False.
382-7999,182,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,False.
371-1727,103,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,True.
369-8871,65,192,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,False.
422-9964,72,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,False.
366-9211,113,150.1,120,25.52,200.1,85,17.01,266.7,105,12,11,3,2.97,2,False.
384-9033,177,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,False.
382-4932,100,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,True.
404-7518,67,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,False.
391-7166,71,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,False.
370-9000,134,242.4,126,41.21,152.9,115,13,318.3,115,14.32,11.8,6,3.19,1,False.
332-3642,124,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1,False.
412-3898,84,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,False.
366-5640,39,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,False.
345-9018,102,103.1,70,17.53,275,129,23.38,141.1,92,6.35,11.2,5,3.02,1,False.
337-1151,142,145.4,93,24.72,209.1,98,17.77,214,96,9.63,10.9,1,2.94,1,False.
374-4664,81,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,7.8,5,2.11,1,False.
377-5043,119,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10,2,2.7,1,True.
401-7359,105,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,True.
375-2184,108,130.1,90,22.12,167,128,14.2,244.7,80,11.01,13.6,5,3.67,3,True.
367-6005,90,102,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,False.
364-2166,100,218.7,104,37.18,155,144,13.18,99,117,4.46,12.1,4,3.27,1,False.
